Name,Membership,Category,Description,Address,Phone
 PT. Gema Teknik Perkasa,Gold Member,Batu (1402),"  Profil Perusahaan  PT Gema Teknik Perkasa merupakan perusahaan yang bergerak di bidang Industri khususnya yang bergerak di bidang pemasangan Refractory seperti Castables Casting , Castable Gunning, Refractory Brick, Acid Resistance Brick, Plastik Refractory, Ceramik Blanket dan wool , Instalasi Modul Blanket .Kami memiliki Equipment Special untuk pemasangan Refractory dan mensupply berbagai macam refractory standard atau khusus Refractory Fire Brick , Insulation Fire Brick , Refractory Castable , Insulation Castable , Mortar , Precast Block , Ceramic Paper , Ceramic Blanket , Rockwool Calsium Silica Board dll,Kami memberikan solusi jangka panjang dan biaya yang lebih hemat bagi perusahaan anda, dapat merespon dengan jawaban inovatif untuk masalah yang anda hadapi. ","Jl. Nurushoba II No.13 Setia Mekar Tambun, Bekasi, Bekasi, Indonesia",+62 859-2199-4170
 Pusat Keramik Roman,Gold Member,Batu (1402),"  Profil Perusahaan  Menyediakan kebutuhan keramik,granit Valentino GressSanitary dan Aksesoris untuk Rumah, Kantor, dan Bangunan lainnya. Selalu hadir menyediakan barang berkualitas denganhargaTerbaik dan Kompetitif. ","Jl. Raya Jati Asih No. 33, Bekasi, Bekasi, Indonesia",+62 812-8243-4182
 CV. Sukses Makmur,Gold Member,Batu (1402),"  Profil Perusahaan  CV. Sukses Makmur adalah sebuah perusahaan yang bergerak di bidang produk bahan bangunan dan konstruksi. Produk kami sudah teruji kualitas dan keunggulannya sehingga bisa diandalkan untuk kebutuhan Anda baik untuk Rumah Pribadi, Kantor, Rumah Sakit, Industri, Pabrik dan Jalan Raya. Berbagai proyek sudah menggunakan produk kami baik proyek pemerintah maupun proyek swasta.  1 ) Beberapa Proyek Pemerintah yang sudah menggunakan produk kami yaitu : Proyek Toll Medan - Kualanamu, PT. Jasa Raharja Cabang SUMUT, Bank BTN Cabang Medan, Rumah Dinas BPK Medan, Lapangan Merdeka Kota Binjai, Taman Menjuah-Juah Kota Brastagi, Rumah Sakit Umum Rantau Prapat, Dinas Pertamanan Kota Medan dan masih banyak lagi lainnya. 2) Berbagai Proyek Swasta yang sudah menggunakan produk kami yaitu : Citra Land Bagya City Medan, Apartement and Condominium The City View Polonia Medan, Sekolah Ignatius Medan, Indah Cargo and Logistik Medan, Perumahan-perumahan di kota Medan, Rumah Pribadi dan masih banyak lagi yang lainnya. Sehingga anda tidak salah memutuskan untuk menggunakan produk-pruduk unggul kami untuk proyek-proyek yang akan anda kerjakan. ","Jl. Setia Budi No. 442, Medan, Sumatera Utara, Medan, Sumatera Utara, Indonesia",+62 812-6904-7522
 UD. Adil,Gold Member,Batu (1402),"  Profil Perusahaan  UD. Adil Adalah Pabrikan yang telah berkiprah selama 25 tahun di Bidang Supplier Berbagai Macam Batu Alam Khususnya Kerikil, Granit,Andesit dan sebagainya.
Kami adalah pabrikan batu alam dari Surabaya, produk utama adalah kerikil dan batu andesit yg sekarang banyak digunakan untuk design eksterior (pagar, kolam renang, car port, dll) & interior (kamar mandi, dinding, lantai rumah, dll). 
Dengan dukungan mesin besar dan berkualitas, hasil pemotongan kami mendapatkan presisi yg diinginkan. sehingga hasil pemasangan bagus dilihat & hemat material pelekatnya. Saat ini daerah pemasaran kami meliputi: Indonesia dan Eropa. Info selanjutnya silahkan hubungi 082249557070 ","Jl. Bung Tomo No. 7 Ngagel, Surabaya, Jawa Timur, Indonesia",+62 822-4955-7070
 UD. Prima Al Hajar,Gold Member,Batu (1402),"  Profil Perusahaan  Prima Al-Hajar marmer berdiri sejak tahun 1992, berasal dari kota Tulung Agung, Prima Al-Hajar  memproduksi berbagai kerajinan batu marmer dan kerajinan batu onyx. Prima Al Hajar Marmer Pioner Kerajinan Batu Marmer dan Batu Onyx dari Campur Darat, Tulung Agung, Jawa Timur, Indonesia.Produk kami tidak hanya terbatas produk kerajinan saja, juga produk home decoration dan sanitari seperti: Lampu duduk (Table Lamp), Bak Mandi (Bath Tup), Patung Marmer (Marble Statue), Pilar Marmer (Marble Pillar), Meja Marmer (Marble Table), Vas Marmer (Marble Flower Vas), Dinding Marmer (Marble Wall), Wastafel dan Air Mancur (Water Fountain).Dalam perkembangannya Prima Al Hajar Marmer tidak saja memproduksi produk kerajinan, melainkan berkembang dengan produk-produk unggulan lain seperti: Wastafel, Bak Mandi dan berbagai produk sanitair dengan corak dan disain yang menggugah selera anda. Produk-produk kami sangat cocok dipadukan dengan berbagai disain arsitektur rumah anda. Selain dengan disain-disain konvensional kami juga memiliki berbagai desain minimalis dan desain modern. ","Desa/Kec. Campur darat, Tulungagung, Jawa Timur, Indonesia",
 UD. Bumi Kirana Jaya,Gold Member,Batu (1402),"  Profil Perusahaan  UD. BUMI KIRANA JAYA adalah unit usaha yang bergerak dalam pengadaan kebutuhan barang - barang project yaitu : Bata Merah, Pasir, Stingslah, Sirtu Urug, Batu Belah/ Kali, Batu Kapur, Bambu Bongkotan, Buis Beton, Tandon Cor, Batako, Roster, Kanstin, Paving dan kebutuhan project lainnya. Kami memberikan HARGA dan DELIVERY yang TERBAIK demi kepusan pelanggan. Dengan pengalaman kami di project, anda dapat bertanya harga dan kebutuhan material project apapun yang Anda cari dengan menghubungi kami di 081232146721 dan kami akan membantu informasi yang kami punya. ","Perum Kahuripan Nirwana Village Blok BC 1 No. 10 Jati, Sidoarjo, Jawa Timur, Indonesia",+62 812-3214-6721
 CV. Tolisindo Persada,Gold Member,Batu (1402),"  Profil Perusahaan  CV. Tolisindo Persada
Supplier Material Bangunan Tolisindo Persada  Adalah Supplier Material Bangunan
Selama Ini, Kami Telah Dipercaya Untuk Menyediakan Material Bangunan Bagi Perorangan, Perusahaan Manufaktur, Berbagai Jenis Proyek Property, Instansi Pemerintah, Baik Dari Dalam Maupun Luar Pulau..Dengan Adanya Pengalaman Bertahun Tahun Tersebut, Kami Siap Membuka Diri Untuk Menjalin Kerja Sama Baru Yang Menguntungkan Untuk Kedua Belah Pihak.Berikut Ini Adalah Produk Yang Kami Tawarkan :Material Bangunan 
Geotextile Woven & Non-Woven, Atap Galvalume (Spandek), Rangka Atap Baja Ringan (Rangka Atap Truss), Atap Bitumen (Onduline, Onduvilla, Gutapral, Tegola), Gypsum Board, Kalsiboard, Nusaboard, Royal Board, Seng Gelombang , Genteng Keramik Kia, Genteng Metal, , Hollow, Reng, Wall Angel (Beserta Paku Truss), Wiremesh, Besi, Bata Ringan, Asphalt Pertamina, Floor Deck, Pipa Pvc,Pintu Pvc, Pintu Angzdorr, Excellent Door, Sanitary (Onda, Toto, Dupon, Ina, San Ei, American Standard), Kitchen Sink, Bak Mandi, Granite Tile, Dll.Hubungi Kami Untuk Kebutuhan Material bangunan Anda. Karena "" Kepuasan Anda Adalah Tujuan Kami "". Best Regards,
.CV TOLISINDO PERSADA
. Supplier Bahan Bangunan & Botol Plastik
. Pondok Jati CB 16 Sidoarjo
. Telp 	: 0318922433 
. Hp         : 081230169533
. WA        : 082287777059
. Email 	: tolisindopersada@gmail.com
. Website : tolisindopersada.com ","Pondok Jati  CB  16  Jati, Sidoarjo, Jawa Timur, Indonesia",+62 822-8777-7059
 PT. Multi Marmer Alam,Gold Member,Batu (1402),  Profil Perusahaan  PT. Multi Marmer Alam didirikan pada bulan Oktober 1983. Ini memulai perjalanan panjangnya dengan visi untuk memenuhi permintaan domestik akan marmer berkualitas tinggi. Sekarang PT. Multi Marmer Alam tidak hanya menjadi salah satu produsen marmer dan batu kapur kualitas terbaik Indonesia di Indonesia tetapi juga dunia secara keseluruhan. ,"Jl. Raya Pamuncatan KM 21.7 Padalarang Bandung - Indonesia, Bandung Barat, Jawa Barat, Indonesia",+62 816-983-875
 Citra Agung,Gold Member,Batu (1402),"  Profil Perusahaan  Citra Agung adalah sebuah perusahaan yang bergerak di bidang distributor produk aluminium yang berlokasi di Medan. Kami menjual tangga stainless, tangga aluminium kolom, kasa nyamuk magnet, dan teralis jerjak besi. ","Jl. Brastagi No. 5A, Medan, Sumatera Utara, Indonesia",+62 813-7528-8775
 CV. Artha Kencana Jaya,Gold Member,Batu (1402),  Profil Perusahaan  CV. ARTHA KENCANA JAYA adalah Sebuah perusahaan yang bergerak dalam bidang penjualan produk cat dan bahan bangunan. Kami berlokasi di kota Surabaya. Produk kami sudah teruji kualitas dan keunggulannya sehingga bisa diandalkan untuk industri Anda ,"Jl Ngagel Jaya Selatan 134, Surabaya, Jawa Timur, Surabaya, Jawa Timur, Indonesia",+62 822-3388-8022
 Regalo Tiles,Gold Member,Batu (1402),"  Profil Perusahaan  Tentang Ubin Regalo
Regalo Tiles didirikan pada tahun 2012 dengan Visi untuk menjadi salah satu ubin teraso Terasering terkemuka dan produsen ubin Semen Encaustic di Indonesia.
Bersama kami Kualitas tidak pernah menjadi kecelakaan, selalu hasil dari niat yang tinggi, upaya tulus, arah yang cerdas dan terampil
eksekusi.

Produsen ubin teraso (teraso) sejak tahun 2012. Kami memproduksi ubin terrazzo berukuran 30x30x3cm, 40x40x3cm dalam berbagai warna untuk penggunaan komersial, perumahan dan industri. Bersama kami Kualitas tidak pernah menjadi kecelakaan, itu selalu hasil dari niat yang tinggi, upaya tulus, arah yang cerdas.

Terrazzo telah dideskripsikan sebagai material lantai yang populer sepanjang masa dengan yang paling ekonomis dibandingkan dengan waktu kehidupannya. Kombinasi semen putih dan pigmen dan chip marmer acak membuat berbagai desain yang membuat lantai hidup dan berwarna-warni secara astetik. Lantai Terrazzo mudah dipelihara dan dapat mempertahankan lalu lintas yang padat.Kami di ubin Regalo memproduksi lebih dari 25 desain dalam warna differnt serta semen putih polos dan ubin teraso abu-abu yang cocok untuk penggunaan Perumahan, penggunaan Commericial dan penggunaan Industri. Produk kami banyak digunakan untuk lantai industri seperti pabrik garmen, Spinning Mills, Pusat perbelanjaan, Hotel, Apartemen, Villa, Perumahan.

Kami juga menerima desain klien sendiri berdasarkan permintaan.
Layanan dari Ubin Regalo tidak terbatas pada pembuatan ubin Terrazzo tetapi juga menyediakan di situs cast in situ terrazzo peletakan dan pemasangan dan pemolesan ubin teraso di lokasi proyek klien. Kami juga melakukan Pemeliharaan seperti reparishing, perbaikan. ","The Mansion Bougenville Fontana Lt.27 Unit BF 27-J2, Jl. Trembesi Blok D, Kemayoran, Jakarta Utara 14410, Jakarta Utara, DKI Jakarta, Indonesia",+62 812-8686-7399
 PT. Dharmala Prima Sakti,Tidak Ada,Batu (1402),"  Profil Perusahaan  Royal Stone Indonesia adalah importir utama dan pemasok grosir batu alam kualitas premium untuk proyek-proyek bangunan komersial dan residensial. Didirikan pada tahun 1991 kami telah memperoleh dan telah mempertahankan reputasi untuk mengimpor dan mendistribusikan hanya batu kualitas tertinggi sambil memberikan klien kami perhatian rinci dalam memilih bahan yang tepat untuk proyek-proyek mereka. Bahan kami di impor dari seluruh dunia dan selama bertahun-tahun kami telah mengembangkan dan memelihara hubungan yang kuat dengan pemasok batu, yang memungkinkan kita untuk membeli hanya produk terbaik dari tambang terkemuka di dunia.Royal stone Indonesia menyediakan berbagai macam ragam : 
1. Marmer
2. Granit
3. Batu Alam
4. Pemasangan marmer granit batu alam
5. Pemolesan marmer granit dengan variasi corak, warna & ukuran dengan harga yg kompetitif.KONTAK KAMI :
PT Dharmala Prima Sakti
Importer Manufacturer Exporter
Granite, Marble, Onyx, Sandstone, TravertineKantor : Ruko Mega Grosir Cempaka Mas Blok I No.29 Jakarta Pusat, Jakarta Pusat, Jakarta, Indonesia.
Pabrik : Gunung Putri - Bogor.supplier marmer jakarta, pabrik lantai marmer, onyx, produsen lantai marmer, distributor marmer jakarta, distributor marmer jakarta selatan, distributor marmer di jakarta, pabrik marmer jakarta, supplier marmer import, distributor marmer di jakarta, agen batu marmer jakarta, supplier granit, lantai marmer, marmer import, jual granit jakarta, jual marmer jakarta ","Ruko Mega Grosir Cempaka Mas Blok I No.29 Jakarta Pusat,, Jakarta Pusat, DKI Jakarta, Indonesia",
 CV Batu Alam Modern,Tidak Ada,Batu (1402),"  Profil Perusahaan  [081271419090] Kami Pusat Marmer Granit Alam Natural Stone Wilayah Palembang. Tersedia Berbagai Jenis Marmer Granit Nero, Galaxy, Travertine, Levanto, Emprador, Blue Pearl Dll.   Alamat Showroom Batu Alam Modern Jln MP Mangkunegara No 98 Kenten Palembang Sumatera Selatan. ","Jln MP Mangkunegara No 98 Kenten Sumatera Selatan, Palembang, Sumatera Selatan, Indonesia",
 PT. Samadi Cahaya Mandiri,Tidak Ada,Batu (1402),"  Profil Perusahaan  PT. Samadi Cahaya Mandiri (SCM) didirikan pada tahun 2015, sebagai salah satu Distributor Cat Skk dan applicator cat resmi merk cat SKK. SKK adalah perusahaan cat nomor 1 terkemuka untuk bangunan dari Jepang. SKK memiliki beragam varian produk cat bangunan, oleh karena itu kami sebagai Distributor Cat Skk selalu membantu memberikan rekomendasi produk kepada customer kami, jenis cat yang sekiranya sesuai dengan design arsitektural serta anggaran nilai proyek.PT. SCM menyediakan layanan cat berkualitas tinggi, baik untuk klien proyek residensial maupun proyek komersial di Indonesia. Harga Cat Skk yang bersahabat tentunya berdampak baik untuk proyek Anda.Klien kami meliputi :
- Pemilik rumah tinggal
- Pemilik bangunan (gedung kantor, pabrik, hotel, apartement, rumah sakit,resto & café, dll)
- Pengembang property
- Perusahaan jasa konstruksiKami bangga dengan layanan personal kami untuk memastikan kepuasan pelanggan.Hal ini tercermin dalam pertumbuhan bisnis kami serta referensi yang kita terima dari para pelanggan kami.4 hal utama guna mencapai kepuasan pelanggan kami yaitu :1. Kualitas
Tenaga ahli pilihan yang berkualitas dalam proses pengaplikasian produk cat kami guna memastikan kelancaran & kemajuan proyek. Ini termasuk melalui persiapan pekerjaan, proses aplikasi dan inspeksi di akhir. Kami hanya menyediakan produk SKK asli  berkualitas dengan dukungan teknis penuh dari SKK Jepang selaku principal & pihak produsen.
2. Profesionalisme
Tim manajemen proyek kami memastikan semua proses administrasi dan kemajuan progress lapangan dicapai dalam kerangka waktu, cakupan dan anggaran yang sudah dirancang. Setelah menyelesaikan proyek, kami memastikan lapangan bersih dan siap untuk proyek tahap selanjutnya bagi klien kami.
3. Tepat Waktu
Kami bekerja secara efektif & efisien untuk memenuhi kerangka waktu yang telah 
dipersiapkan. Kami menanggapi dengan cepat masalah yang timbul di lapangan, dan pekerjaan tambahan yang mungkin diperlukan.
4. Keamanan
Kami memberlakukan standard keamanan yang tinggi untuk para pekerja kami dilapangan.
Cakupan pelayanan kami meliputi :
A. Pengecekan standard kesiapan permukaan dinding.
B. Penjelasan produk yang akan digunakan.
C. Jangka waktu pelaksanaan.
D. Proposal & metode pembayaran.
E. Tahap pelaksanaan.
F. Garansi produk & kontrak kerja.
G. Berita Acara Pekerjaan & Berita Acara Serah Terima.Misi
Untuk menyediakan servis interior dan eksterior yang terbaik dan servis lukisan komersial paling tepat waktu dan untuk memastikan kepuasan pelanggan 100%.
Perspektif perjanjian kontrak kita bukan hanya bisnis yang terpisah antara perusahaan dan pelanggan.Kami melihat setiap kesepakatan kontrak sebagai kemitraan untuk menciptakan hubungan saling menguntungkan antara bisnis untuk memastikan kepuasan jangka panjang antara dua mitra.Varian produk SKK dengan Harga Cat Skk murah, yaitu:1. Special Paint
- Super dirt resistant coating ( Cat dengan karakteristik daya resistansi yang sangat baik terhadap debu dan kotoran, guna menahan timbulnya hairline/retak rambut).
- Cat elastomeric (Cat elastis)
-  Heat reflective paint cat peredam panas sinar UV (untuk dinding & atap).
-  Green product (Produk ramah lingkungan)
-  Concrete protect system (coating pelapis transparan, pelindung konkrit beton)2. Cat Texture
Cat decorative, cat semprot dengan tampilan menyerupai batu alam, dapat digunakan baik untuk dinding interior maupun exterior. Terdapat berbagai macam jenis/warna cat texture yang menarik.Hubungi kami untuk melihat berbagai pilihan warna.3. Cat emulsion
Cat emulsion konvensional terdiri dari berbagai pilihan warna yang tak terbatas, dengan  tampilan matt/dove, satin  glossy.4. Cat Epoxy
Cat epoxy adalah cat khusus yang diformulasikan untuk melapisi lantai beton agar lebih kuat, tidak mudah pecah oleh beban berat, dan lebih bersih. Lapisan epoxy ini memiliki sifat tahan terhadap bahan kimia. ","JL. Manyar Tirtoyoso Selatan 1/26	Manyar Sabrangan, Mulyorejo, Surabaya, Surabaya, Jawa Timur, Indonesia",
 PT Megamas Plaza Bangunan (Home Smart),Tidak Ada,Batu (1402),"  Profil Perusahaan  Kami adalah penyedia bahan bangunan terlengkap di kota Medan untuk para owner rumah/enduser, kontraktor dan maupun pengembang.Kunjungi Juga Website kami di www.homesmart.co.idInformasi & komunikasi via media sosial :
BBM                           : 5B1388FF
Follow Instagram    : homesmart_medan
Fb                               : homesmart4u ","Jl. Jend Gatot Subroto No.102, daerah simpang ayahanda/darussalam ,Medan -20118, Medan, Sumatera Utara, Indonesia",
 Sentul Marmer,Tidak Ada,Batu (1402),"  Profil Perusahaan  Perusahaan kami menjual produk equipment building berupa Marmer,Granit Alam juga Batu alam dengan variasi corak, warna , ukuran dgn harga yg kompetitif. semua produk kami asli dr alam. kami juga melayani Installasi, Polisher serta Maintenance . rumah anda belumlah nyaman,mewah bila belum memakai marmer granit serta batu alam. selain alami serta mewah , produk alam ini aman digunakan dirumah anda TDK SEPERTI KERAMIK atau produk buatan lainnya yg byk dibuat melalui PROSES KIMIAWI yg berbahaya untuk kesehatan keluarga anda. kami vaganza marmer , hadir memberikan solusi, marmer granit serta batu alam dikenal mahal, ditempat kami anda bisa bernegoisasi dgn fleksibel menentukan buget harga yg anda tentukan. kami tak segan2 memberikan alternatif2 terbaik demi tujuan anda. menggunakan marmer granit serta batu alam sebagai pelengkap dirumah anda. silahkan anda berkenalan dulu dgn kami, melalui media sosial terutama Whatshaap , sebelum datang ketempat kami. jadi tdknya no 3, kami perlu menjaga hubungan baik antar sesama, tanpa harus memikirkan untung rugi dr nilai suatu perkenalan. kami memberi solusi rumah mewah anda dgn harga terjangkau, dgn tetap menjaga kwalitas kami tunggu siraturahmi anda .Showroom / workshop: Sentul Marmer Jl Raya Alternatif Sentul Km 1 Bogor ( tdk jauh dr exit pintu tol sentul sirkuit, sebelah RM bambu haur/ bengkel one stop) HUBUNGI MARKETING KAMI : Fitri WA O813 1848 O892
Kartini WA O878 813O 7257silahkan bila ada yg ingin ditanyakan lewat email kami : 
vaganzamarmergranit@gmail.com Terima kasih atas kepercayaan anda vaganza marmer group* Januari 2016O813 1848 O892/ O813 1848 O892 vaganza marmer murah granit murah batu alam murah pemasangan marmer murah pemasangan granit murah pemasangan batu alam murah pemolesan marmer murah pemolesan granit murah  vaganza marmer murah granit murah batu alam murah pemasangan marmer murah pemasangan granit murah pemasangan batu alam murah pemolesan marmer murah pemolesan granit murah ","Jalan Alternatif Sentul Km 1 no 354 B Nanggewer, Sentul , Bogor - Jawa Barat, Bogor, Jawa Barat, Indonesia",
 CV. Istiqomah Batu Alam,Tidak Ada,Batu (1402),"  Profil Perusahaan  Kami Adalah Perusahaan Yang Bergerak Di Bidang Pemasaran Produk-Produk Industri Batu Alam Di Cirebon
Dengan Ketersediaan Stok Melimpah, Kami Siap Melayani Anda Dengan Kebutuhan Partai Kecil Maupun Partai Besar. Luar kota, Luar Pulau Maupun Luar Negeri Kami Siap Melayani Anda. 
Selain Itu Kami Pun Menjalin Mitra Dengan Banyak Pabrik Batu Alam Di Seluruh Wilayah III Cirebon Untuk Memenuhi Kebutuhan Proyek Anda Dengan Pelayanan Yang  Cepat, Presisi, Dan Ekonomis.
Anda Juga Dapat Menentukan Tiap-Tiap Kebutuhan Sesuai Dengan Keinginan Anda, Karna Kami Dapat Menyesuaikan Segala Jenis Ukuran Dan Ketebalanya, Serta Secepat Apa Yang Anda Inginkan.Kami Yakin Dengan Semangat Bisnis Yang Berorientasi Pada Kualitas Produk Dan Pelayanan, Hubungan Yang Baik Dengan Suplier Dan Customer Akan Mampu Menciptakan Kemajuan Untuk Semua Pihak Yang Terlibat Pada Bisnis Batu Alam.Kami Tunggu Jalinan Kerja Sama Bersama Anda Untuk Mewujudkan Kemajuan Bersama.CV. Istiqomah Batu Alam
https://www.batucirebon.com/ ","Jl. Amal blok sabu gede no. 47 Desa Balad Kec. Dukupuntang, Cirebon, Jawa Barat, Indonesia",
 PT Cipta Mutu Teknologi,Diamond Member,Bracket (521),"  Profil Perusahaan  PT. Cipta Mutu Teknologi (CMT) merupakan salah satu 
perusahaan pusat bracket tv lcd led plasma & jasa pemasangan bracket 
all tv. Jual aneka bracket tv lcd berbagai ukuran, spesialis bracket standar, 
kustomisasi, proyektor lcd pemasangan lengkap, tv lcd, dan video wall, 
semua jenis model bracket ada di cmt. Terima jasa pemasangan bracket tv se-JABODETABEK, standing bracket tv, 
bracket tv murah, standing tiang bracket tv.
Jasa pemasangan bracket tv, stand bracket tv, standard bracket tv 
se-JABODETABEK.
 ","Ruko Duren Sawit Center No. 8D, Jakarta Timur, DKI Jakarta, Indonesia",+62 812-1976-2509
 PT. Rajawali Karunia Sejahtera,Gold Member,Bracket (521),"  Profil Perusahaan  AC (Air Conditioner) merupakan suatu mesin yang berfungsi sebagai pendingin udara yang berada disekitar mesin pendingin tersebut. Kita tahu bahwa udara adalah zat yang memang tak terpisahkan dari kehidupan didunia layaknya seperti air. Gas oksigen merupakan zat yang paling dibutuhkan oleh manusia disamping sebagai jenis gas yang lain.
Kita tahu bahwa kondisi lingkungan saat ini menunjukan bahwa tingkat polusi udara sangat tinggi sehingga mengakibatkan terganggunya kesehatan manusia.
Tingkat pencemaran udara yang tinggi  membuat manusia beralih dari system penyegaran ruangan alami menuju system penyegaran udara buatan.
Oleh karena itu system penyegaran udara (AC) merupakan instrument yang paling banyak digunakan untuk mengatasi masalah kenyamanan suatu ruangan.
Maka melihat potensi kebutuhan manusia, hal ini menjadikan peluang terbesar untuk terus meningkatkan  kualitas udara dalam sehingga mejadi lebih sehat, bersih dan nyaman.PT. RAJAWALI KARUNIA SEJAHTERA Bergerak dibidang pengadaan, pemasangan dan instalasi AC (air Conditioner) yang berdiri sejak tahun 2011.VISI
Menjadikan Perusahaan Barang dan Jasa yang mampu senantiasa bersaing dan tumbuh berkembang sehat ;
Menjadikan Service AC Ditangerang menjadi pilihan utama masyarakat mengatasi masalah pada mesin pendingin ;
Menjadi Perusahaan Jasa layanan Service AC yang dipercaya dan meyenangkan bagi masyarakat.MISI
Menyediakan product – product ac berkualitas ;
Memberikan pelayanan yang terbaik pada pelanggan ;
Menjalin kerjasama yang baik pada pemasok dan pelanggan.MAKSUD DAN TUJUAN
Tujuan kami yakni untuk membatu Masyarakat mengantisipasi masalah seputar AC baik di rumah tinggal, apartement, ruko, perkantoran, rumah sakit, pusat perbelanjaan, hotel, pabrik dan dimanapun. Hal ini dilakukan untuk menjaga agar senantiasa masyarakat hidup sehat, nyaman, aman, dan mendapatkan performance, efektifitas, memungkinkan juga efesinesi biaya.PT. RAJAWALI KARUNIA SEJAHTERA meyediakan berbagai merk dan jenis AC, serta melayani jasa pemasangan dan instalasi AC (Ducting, Piping, dan Jacketing), service dan maintenance AC untuk rumah tinggal, ruko, gedung perkantoran, rumah sakit, pusat perbelanjaan, apartement, hotel, showroom dan pabrik untuk wilayah BSD, cisauk, serpong, gading serpong, villa melati, alam sutera, bintaro, modern land, legok, tangerang dan jakarta.Jenis product kami yakni AC Split Wall, Floor Standing, Cassette, Ceiling Suspended, Split Duct, Super Multi, VRV, AHU (Air Handling Unit), FCU (Fan Coil Unit), Mesin Cooled Storage, Condensing Unit dan Chiller.Dengan berbagai merk seperti Daikin, Panasonic, Teco, Haier, Aux, Midea, Gree,Sharp, LG, Samsung, York, Carrier, FujiAire, Fuji electric dan Aicool.
Selain Mejual Unit Baru, Kami juga menyediakan Unit Second (Trade In) dan perlengkapan kebutuhan AC lainnya seperti Pipa Refrigrant, Kabel NYM, Bracket Outdoor, Duct Tape Lem, Duct Tape Non Lem dll.TARGET PASAR
Menjaring pangsa pasar mulai dari Rumah Tinggal, Apartement, Ruko, Perkantoran, Restaurant, Pusat perbelanjaan, Rumah Sakit, Showroom, dan Pabrik mulai dari daerah Serpong Tangerang, Jakarta, Pulau Jawa sampai luar Pulau.PROMOSI PEMASARAN
Dalam kegiatan pemasaran produk & jasa yang kami perjualkan, kami memasang Spanduk dan display AC ditoko kami sehingga pembeli dapat mengetahui jasa, barang dan merk apasaja yang saya perjualkan, menawarkan via telepon, mengingatkan kekonsumen jadwal service AC via telepon ataupun SMS, menyebarkan brosur , memasarkan produk dan jasa melalui jejaring sosial seperti, facebook, OLX, Blogger, dan membukan website tersendiri.PENUTUP
Berwirausaha merupakan kegiatan yang dibutuhkan untuk menciptakan atau melakukan sebuah usaha. Peluang kita dalam berusaha merupakan kemampuan pribadi sebagaimana kita memiliki sifat percaya diri, berani mengambil resiko, berjiwa kepemimpinan, jujur, tekun, bertanggung jawab dan selalu berusaha untuk berprestasi dan dan mampu menciptakan karya yang luar biasa, meyakinkan masyarakat dan konsumen akan produk dan jasa yang dipasarkan. Mampu memotivasi diri kita sendiri maupun terhadap karyawan maupun orang lain, serta selalu menjalin kerjasama yang baik terhadap pemasok.KATA PENUTUP
Demikian proposal ini dibuat, semoga dapat menjadi acuan dan bahan pertimbangan dalam mendirikan suatu usaha. Untuk itu kami mengharapkan dukungan serta peran semua pihak dalam pembentuka usaha ini. Terimakasih. ","Ruko Malta Kav. 2 No. 18 Sentraland Paradise Kel. Kabasiran Kec. Parung Panjang Bogor Jawa Barat, Bogor, Bogor, Indonesia",+62 811-8816-588
 PT. Cahaya Makmur Sejahtera Indonesia,Gold Member,Bracket (521),"  Profil Perusahaan  Info PerusahaanKami Selaku Agen Distributor Freon Ac Dari “Cahaya Makmur Sejahtera” Yang Bergerak Dibidang Pendingin, Baik Spareparts Ac (Freon R22 Refrigerant , R22 Genetron , R22 Dupont , R22 Dupont Netherlands , R410a Refrigerant , R410a Genetron , R410 Duponta , R407c Refrigerant , R407c Genetron , R407c Dupont , R404a Refrigerant , R404a Dupont , R404a Genetron , R134a Klea , R134a Refrigerant , R134a Dupont , R417a Dupont , R417a Refrigerant , R11 Refrigerant , R141b Refrigerant , R123 Dupont, Alat Las Mini , Vacum Pump Value , Vacuum Pump Robinair , Jet Cleaner Kyowa , Steam Starwash , Pvc Curtain , Dll ) .* Office & Store * 
gedung LTC glodok , LT.GF1 blok.C23-2 Telp : 021-62305522, Fax: 021-62305523, Email: cmsac.2011@gmail.com ","gedung LTC glodok , Lt.GF1 blok.C23 - 2, Jakarta Barat, DKI Jakarta, Indonesia",+62 812-8117-9898
 Toko Klt Bracket Mandiri,Tidak Ada,Bracket (521),"  Profil Perusahaan  Kami adalah produsen berbagai macam Bracket untuk LCD/LED  TV dan sejenisnya. Berikut adalah produk yg kami sediakan antara lain:
*) Floorstanding Bracket LCD/LED TV (Single dan Dual Monitor)
*) Wall Bracket LCD/LED TV
*) Desk Mounting Bracket LCD/LED TV dan Monitor Computer
*) Celing Bracket LCD/LED TV
*) Video Wall/ Multydisplay Bracket
*) Ceiling Bracket LCD Projector/INFOCUS
*) Motorized Ceiling Bracket LCD Projector/INFOCUS
*) KIOSk Bracket dan
*) Audio Visual System Integration ","Jl. KH Mansyur No. 10 Gondrong Cipondoh, Kota Tangerang, Banten, Indonesia",
 UD. Hermon Jaya,Tidak Ada,Bracket (521),"  Profil Perusahaan  UD Hermon Jaya Semarang adalah distributor produk aksesoris dan audio video seperti Braket TV, Braket AC, Braket Proyektor, Braket Monitor, Roda Kulkas, Roda Mesin Cuci, Kompor Gas,  AC dan TV LED. Area pemasaran kami Jawa Tengah dan Jawa Timur. Melayani dealer, proyek dan grosir. Berdiri sejak juni 2013 ","Taman Majapahit Estate Jln Taman Ketapang Selatan AD 52, Semarang, Jawa Tengah, Indonesia",
